ID,Document ID,Document Title,Annex,Section L1,Section L2,Section L3,Section L4,Essential Requirement
137,2006/42/EC,Machinery Directive,I,1,7,3,,"1.7.3. Marking of machinery All machinery must be marked visibly, legibly and indelibly with the following minimum particulars: — the business name and full address of the manufacturer and, where applicable, his authorised representative, — designation of the machinery, — the CE Marking (see Annex III), — designation of series or type, — serial number, if any, — the year of construction, that is the year in which the manufacturing process is completed. It is prohibited to pre-date or post-date the machinery when affixing the CE marking. Furthermore, machinery designed and constructed for use in a potentially explosive atmosphere must be marked accordingly. Machinery must also bear full information relevant to its type and essential for safe use. Such information is subject to the requirements set out in section 1.7.1. Where a machine part must be handled during use with lifting equipment, its mass must be indicated legibly, indelibly and unambiguously."
138,2006/42/EC,Machinery Directive,I,1,7,4,,"1.7.4. Instructions All machinery must be accompanied by instructions in the official Community language or languages of the Member State in which it is placed on the market and/or put into service. The instructions accompanying the machinery must be either ‘Original instructions’ or a ‘Translation of the original instructions’, in which case the translation must be accompanied by the original instructions. By way of exception, the maintenance instructions intended for use by specialised personnel mandated by the manufacturer or his authorised representative may be supplied in only one Community language which the specialised personnel understand. The instructions must be drafted in accordance with the principles set out below."
139,2006/42/EC,Machinery Directive,I,1,7,4,1,"1.7.4.1. General principles for the drafting of instructions (a) The instructions must be drafted in one or more official Community languages. The words ‘Original instructions’ must appear on the language version(s) verified by the manufacturer or his authorised representative. (b) Where no ‘Original instructions’ exist in the official language(s) of the country where the machinery is to be used, a translation into that/those language(s) must be provided by the manufacturer or his authorised representative or by the person bringing the machinery into the language area in question. The translations must bear the words ‘Translation of the original instructions’. (c) The contents of the instructions must cover not only the intended use of the machinery but also take into account any reasonably foreseeable misuse thereof. (d) In the case of machinery intended for use by non-professional operators, the wording and layout of the instructions for use must take into account the level of general education and acumen that can reasonably be expected from such operators."
140,2006/42/EC,Machinery Directive,I,1,7,4,2,"1.7.4.2. Contents of the instructions Each instruction manual must contain, where applicable, at least the following information: (a) the business name and full address of the manufacturer and of his authorised representative; (b) the designation of the machinery as marked on the machinery itself, except for the serial number (see section 1.7.3); (c) the EC declaration of conformity, or a document setting out the contents of the EC declaration of conformity, showing the particulars of the machinery, not necessarily including the serial number and the signature; (d) a general description of the machinery; (e) the drawings, diagrams, descriptions and explanations necessary for the use, maintenance and repair of the machinery and for checking its correct functioning; (f) a description of the workstation(s) likely to be occupied by operators; (g) a description of the intended use of the machinery; (h) warnings concerning ways in which the machinery must not be used that experience has shown might occur; (i) assembly, installation and connection instructions, including drawings, diagrams and the means of attachment and the designation of the chassis or installation on which the machinery is to be mounted; (j) instructions relating to installation and assembly for reducing noise or vibration; (k) instructions for the putting into service and use of the machinery and, if necessary, instructions for the training of operators; (l) information about the residual risks that remain despite the inherent safe design measures, safeguarding and complementary protective measures adopted; (m) instructions on the protective measures to be taken by the user, including, where appropriate, the personal protective equipment to be provided; (n) the essential characteristics of tools which may be fitted to the machinery; (o) the conditions in which the machinery meets the requirement of stability during use, transportation, assembly, dismantling when out of service, testing or foreseeable breakdowns; (p) instructions with a view to ensuring that transport, handling and storage operations can be made safely, giving the mass of the machinery and of its various parts where these are regularly to be transported separately; (q) the operating method to be followed in the event of accident or breakdown; if a blockage is likely to occur, the operating method to be followed so as to enable the equipment to be safely unblocked; (r) the description of the adjustment and maintenance operations that should be carried out by the user and the preventive maintenance measures that should be observed; (s) instructions designed to enable adjustment and maintenance to be carried out safely, including the protective measures that should be taken during these operations; (t) the specifications of the spare parts to be used, when these affect the health and safety of operators; (u) the following information on airborne noise emissions: — the A-weighted emission sound pressure level at workstations, where this exceeds 70 dB(A); where this level does not exceed 70 dB(A), this fact must be indicated, — the peak C-weighted instantaneous sound pressure value at workstations, where this exceeds 63 Pa (130 dB in relation to 20 µPa), — the A-weighted sound power level emitted by the machinery, where the A-weighted emission sound pressure level at workstations exceeds 80 dB(A). These values must be either those actually measured for the machinery in question or those established on the basis of measurements taken for technically comparable machinery which is representative of the machinery to be produced. In the case of very large machinery, instead of the A-weighted sound power level, the A-weighted emission sound pressure levels at specified positions around the machinery may be indicated. Where the harmonised standards are not applied, sound levels must be measured using the most appropriate method for the machinery. Whenever sound emission values are indicated the uncertainties surrounding these values must be specified. The operating conditions of the machinery during measurement and the measuring methods used must be described. Where the workstation(s) are undefined or cannot be defined, A-weighted sound pressure levels must be measured at a distance of 1 metre from the surface of the machinery and at a height of 1,6 metres from the floor or access platform. The position and value of the maximum sound pressure must be indicated. Where specific Community Directives lay down other requirements for the measurement of sound pressure levels or sound power levels, those Directives must be applied and the corresponding provisions of this section shall not apply; (v) where machinery is likely to emit non-ionising radiation which may cause harm to persons, in particular persons with active or non-active implantable medical devices, information concerning the radiation emitted for the operator and exposed persons."
141,2006/42/EC,Machinery Directive,I,1,7,4,3,1.7.4.3. Sales literature Sales literature describing the machinery must not contradict the instructions as regards health and safety aspects. Sales literature describing the performance characteristics of machinery must contain the same information on emissions as is contained in the instructions.
142,2006/42/EC,Machinery Directive,I,2,,,,"2. SUPPLEMENTARY ESSENTIAL HEALTH AND SAFETY REQUIREMENTS FOR CERTAIN CATEGORIES OF MACHINERY Foodstuffs machinery, machinery for cosmetics or pharmaceutical products, hand-held and/or hand-guided machinery, portable fixing and other impact machinery, machinery for working wood and material with similar physical characteristics must meet all the essential health and safety requirements described in this chapter (see General Principles, point 4)."
143,2006/42/EC,Machinery Directive,I,2,1,,,2.1. FOODSTUFFS MACHINERY AND MACHINERY FOR COSMETICS OR PHARMACEUTICAL PRODUCTS
144,2006/42/EC,Machinery Directive,I,2,1,1,,"2.1.1. General Machinery intended for use with foodstuffs or with cosmetics or pharmaceutical products must be designed and constructed in such a way as to avoid any risk of infection, sickness or contagion. The following requirements must be observed: (a) materials in contact with, or intended to come into contact with, foodstuffs or cosmetics or pharmaceutical products must satisfy the conditions set down in the relevant Directives. The machinery must be designed and constructed in such a way that these materials can be cleaned before each use. Where this is not possible disposable parts must be used; (b) all surfaces in contact with foodstuffs or cosmetics or pharmaceutical products, other than surfaces of disposable parts, must: — be smooth and have neither ridges nor crevices which could harbour organic materials. The same applies to their joinings, — be designed and constructed in such a way as to reduce the projections, edges and recesses of assemblies to a minimum, — be easily cleaned and disinfected, where necessary after removing easily dismantled parts; the inside surfaces must have curves with a radius sufficient to allow thorough cleaning; (c) it must be possible for liquids, gases and aerosols deriving from foodstuffs, cosmetics or pharmaceutical products as well as from cleaning, disinfecting and rinsing fluids to be completely discharged from the machinery (if possible, in a ‘cleaning’ position); (d) machinery must be designed and constructed in such a way as to prevent any substances or living creatures, in particular insects, from entering, or any organic matter from accumulating in, areas that cannot be cleaned; (e) machinery must be designed and constructed in such a way that no ancillary substances hazardous to health, including the lubricants used, can come into contact with foodstuffs, cosmetics or pharmaceutical products. Where necessary, machinery must be designed and constructed in such a way that continuing compliance with this requirement can be checked."
145,2006/42/EC,Machinery Directive,I,2,1,2,,"2.1.2. Instructions The instructions for foodstuffs machinery and machinery for use with cosmetics or pharmaceutical products must indicate recommended products and methods for cleaning, disinfecting and rinsing, not only for easily accessible areas but also for areas to which access is impossible or inadvisable."
146,2006/42/EC,Machinery Directive,I,2,2,,,2.2. PORTABLE HAND-HELD AND/OR HAND-GUIDED MACHINERY
147,2006/42/EC,Machinery Directive,I,2,2,1,,"2.2.1. General Portable hand-held and/or hand-guided machinery must: — depending on the type of machinery, have a supporting surface of sufficient size and have a sufficient number of handles and supports of an appropriate size, arranged in such a way as to ensure the stability of the machinery under the intended operating conditions, — except where technically impossible, or where there is an independent control device, in the case of handles which cannot be released in complete safety, be fitted with manual start and stop control devices arranged in such a way that the operator can operate them without releasing the handles, — present no risks of accidental starting and/or continued operation after the operator has released the handles. Equivalent steps must be taken if this requirement is not technically feasible, — permit, where necessary, visual observation of the danger zone and of the action of the tool with the material being processed. The handles of portable machinery must be designed and constructed in such a way as to make starting and stopping straightforward."
148,2006/42/EC,Machinery Directive,I,2,2,1,1,"2.2.1.1. Instructions The instructions must give the following information concerning vibrations transmitted by portable handheld and hand-guided machinery: — the vibration total value to which the hand-arm system is subjected, if it exceeds 2,5 m/s2. Where this value does not exceed 2,5 m/s2, this must be mentioned, — the uncertainty of measurement. These values must be either those actually measured for the machinery in question or those established on the basis of measurements taken for technically comparable machinery which is representative of the machinery to be produced. If harmonised standards are not applied, the vibration data must be measured using the most appropriate measurement code for the machinery. The operating conditions during measurement and the methods used for measurement, or the reference of the harmonised standard applied, must be specified."
149,2006/42/EC,Machinery Directive,I,2,2,2,,2.2.2. Portable fixing and other impact machinery
150,2006/42/EC,Machinery Directive,I,2,2,2,1,"2.2.2.1. General Portable fixing and other impact machinery must be designed and constructed in such a way that: — energy is transmitted to the impacted element by the intermediary component that does not leave the device, — an enabling device prevents impact unless the machinery is positioned correctly with adequate pressure on the base material, — involuntary triggering is prevented; where necessary, an appropriate sequence of actions on the enabling device and the control device must be required to trigger an impact, — accidental triggering is prevented during handling or in case of shock, — loading and unloading operations can be carried out easily and safely. Where necessary, it must be possible to fit the device with splinter guard(s) and the appropriate guard(s) must be provided by the manufacturer of the machinery."
151,2006/42/EC,Machinery Directive,I,2,2,2,2,"2.2.2.2. Instructions The instructions must give the necessary information regarding: — the accessories and interchangeable equipment that can be used with the machinery, — the suitable fixing or other impacted elements to be used with the machinery, — where appropriate, the suitable cartridges to be used."
152,2006/42/EC,Machinery Directive,I,2,3,,,"2.3. MACHINERY FOR WORKING WOOD AND MATERIAL WITH SIMILAR PHYSICAL CHARACTERISTICS Machinery for working wood and materials with similar physical characteristics must comply with the following requirements: (a) the machinery must be designed, constructed or equipped in such a way that the piece being machined can be placed and guided in safety; where the piece is hand-held on a work-bench, the latter must be sufficiently stable during the work and must not impede the movement of the piece; (b) where the machinery is likely to be used in conditions involving the risk of ejection of workpieces or parts of them, it must be designed, constructed, or equipped in such a way as to prevent such ejection, or, if this is not possible, so that the ejection does not engender risks for the operator and/or exposed persons; (c) the machinery must be equipped with an automatic brake that stops the tool in a sufficiently short time if there is a risk of contact with the tool whilst it runs down; (d) where the tool is incorporated into a non-fully automated machine, the latter must be designed and constructed in such a way as to eliminate or reduce the risk of accidental injury."
153,2006/42/EC,Machinery Directive,I,3,,,,"3. SUPPLEMENTARY ESSENTIAL HEALTH AND SAFETY REQUIREMENTS TO OFFSET HAZARDS DUE TO THE MOBILITY OF MACHINERY Machinery presenting hazards due to its mobility must meet all the essential health and safety requirements described in this chapter (see General Principles, point 4)."
154,2006/42/EC,Machinery Directive,I,3,1,,,3.1. GENERAL
155,2006/42/EC,Machinery Directive,I,3,1,1,,"3.1.1. Definitions (a) ‘Machinery presenting hazards due to its mobility’ means — machinery the operation of which requires either mobility while working, or continuous or semicontinuous movement between a succession of fixed working locations, or — machinery which is operated without being moved, but which may be equipped in such a way as to enable it to be moved more easily from one place to another. (b) ‘Driver’ means an operator responsible for the movement of a machine. The driver may be transported by the machinery or may be on foot, accompanying the machinery, or may guide the machinery by remote control."
156,2006/42/EC,Machinery Directive,I,3,2,,,3.2. WORK POSITIONS
157,2006/42/EC,Machinery Directive,I,3,2,1,,"3.2.1. Driving position Visibility from the driving position must be such that the driver can, in complete safety for himself and the exposed persons, operate the machinery and its tools in their foreseeable conditions of use. Where necessary, appropriate devices must be provided to remedy hazards due to inadequate direct vision. Machinery on which the driver is transported must be designed and constructed in such a way that, from the driving positions, there is no risk to the driver from inadvertent contact with the wheels and tracks. The driving position of ride-on drivers must be designed and constructed in such a way that a driver's cab may be fitted, provided this does not increase the risk and there is room for it. The cab must incorporate a place for the instructions needed for the driver."
158,2006/42/EC,Machinery Directive,I,3,2,2,,"3.2.2. Seating Where there is a risk that operators or other persons transported by the machinery may be crushed between parts of the machinery and the ground should the machinery roll or tip over, in particular for machinery equipped with a protective structure referred to in section 3.4.3 or 3.4.4, their seats must be designed or equipped with a restraint system so as to keep the persons in their seats, without restricting movements necessary for operations or movements relative to the structure caused by the suspension of the seats. Such restraint systems should not be fitted if they increase the risk."
159,2006/42/EC,Machinery Directive,I,3,2,3,,"3.2.3. Positions for other persons If the conditions of use provide that persons other than the driver may occasionally or regularly be transported by the machinery or work on it, appropriate positions must be provided which enable them to be transported or to work on it without risk. The second and third paragraphs of section 3.2.1 also apply to the places provided for persons other than the driver."
160,2006/42/EC,Machinery Directive,I,3,3,,,"3.3. CONTROL SYSTEMS If necessary, steps must be taken to prevent unauthorised use of controls. In the case of remote controls, each control unit must clearly identify the machinery to be controlled from that unit. The remote control system must be designed and constructed in such a way as to affect only: — the machinery in question, — the functions in question. Remote controlled machinery must be designed and constructed in such a way that it will respond only to signals from the intended control units."
161,2006/42/EC,Machinery Directive,I,3,3,1,,"3.3.1. Control devices The driver must be able to actuate all control devices required to operate the machinery from the driving position, except for functions which can be safely actuated only by using control devices located elsewhere. These functions include, in particular, those for which operators other than the driver are responsible or for which the driver has to leave the driving position in order to control them safely. Where there are pedals, they must be so designed, constructed and fitted as to allow safe operation by the driver with the minimum risk of incorrect operation. They must have a slip-resistant surface and be easy to clean. Where their operation can lead to hazards, notably dangerous movements, the control devices, except for those with preset positions, must return to the neutral position as soon as they are released by the operator. In the case of wheeled machinery, the steering system must be designed and constructed in such a way as to reduce the force of sudden movements of the steering wheel or the steering lever caused by shocks to the guide wheels. Any control that locks the differential must be so designed and arranged that it allows the differential to be unlocked when the machinery is moving. The sixth paragraph of section 1.2.2, concerning acoustic and/or visual warning signals, applies only in the case of reversing."
162,2006/42/EC,Machinery Directive,I,3,3,2,,"3.3.2. Starting/moving All travel movements of self-propelled machinery with a ride-on driver must be possible only if the driver is at the controls. Where, for operating purposes, machinery is fitted with devices which exceed its normal clearance zone (e.g. stabilisers, jib, etc.), the driver must be provided with the means of checking easily, before moving the machinery, that such devices are in a particular position which allows safe movement. This also applies to all other parts which, to allow safe movement, have to be in particular positions, locked if necessary. Where it does not give rise to other risks, movement of the machinery must depend on safe positioning of the aforementioned parts. It must not be possible for unintentional movement of the machinery to occur while the engine is being started."
163,2006/42/EC,Machinery Directive,I,3,3,3,,"3.3.3. Travelling function Without prejudice to road traffic regulations, self-propelled machinery and its trailers must meet the requirements for slowing down, stopping, braking and immobilisation so as to ensure safety under all the operating, load, speed, ground and gradient conditions allowed for. The driver must be able to slow down and stop self-propelled machinery by means of a main device. Where safety so requires, in the event of a failure of the main device, or in the absence of the energy supply needed to actuate the main device, an emergency device with a fully independent and easily accessible control device must be provided for slowing down and stopping. Where safety so requires, a parking device must be provided to render stationary machinery immobile. This device may be combined with one of the devices referred to in the second paragraph, provided that it is purely mechanical. Remote-controlled machinery must be equipped with devices for stopping operation automatically and immediately and for preventing potentially dangerous operation in the following situations: — if the driver loses control, — if it receives a stop signal, — if a fault is detected in a safety-related part of the system, — if no validation signal is detected within a specified time. Section 1.2.4 does not apply to the travelling function."
164,2006/42/EC,Machinery Directive,I,3,3,4,,"3.3.4. Movement of pedestrian-controlled machinery Movement of pedestrian-controlled self-propelled machinery must be possible only through sustained action on the relevant control device by the driver. In particular, it must not be possible for movement to occur while the engine is being started. The control systems for pedestrian-controlled machinery must be designed in such a way as to minimise the risks arising from inadvertent movement of the machine towards the driver, in particular: — crushing, — injury from rotating tools. The speed of travel of the machinery must be compatible with the pace of a driver on foot. In the case of machinery on which a rotary tool may be fitted, it must not be possible to actuate the tool when the reverse control is engaged, except where the movement of the machinery results from movement of the tool. In the latter case, the reversing speed must be such that it does not endanger the driver."
165,2006/42/EC,Machinery Directive,I,3,3,5,,"3.3.5. Control circuit failure A failure in the power supply to the power-assisted steering, where fitted, must not prevent machinery from being steered during the time required to stop it."
166,2006/42/EC,Machinery Directive,I,3,4,,,3.4. PROTECTION AGAINST MECHANICAL HAZARDS
167,2006/42/EC,Machinery Directive,I,3,4,1,,"3.4.1. Uncontrolled movements Machinery must be designed, constructed and where appropriate placed on its mobile support in such a way as to ensure that, when moved, uncontrolled oscillations of its centre of gravity do not affect its stability or exert excessive strain on its structure."
168,2006/42/EC,Machinery Directive,I,3,4,2,,"3.4.2. Moving transmission parts By way of exception to section 1.3.8.1, in the case of engines, moveable guards preventing access to the moving parts in the engine compartment need not have interlocking devices if they have to be opened either by the use of a tool or key or by a control located in the driving position, providing the latter is in a fully enclosed cab with a lock to prevent unauthorised access."
169,2006/42/EC,Machinery Directive,I,3,4,3,,"3.4.3. Roll-over and tip-over Where, in the case of self-propelled machinery with a ride-on driver, operator(s) or other person(s), there is a risk of rolling or tipping over, the machinery must be fitted with an appropriate protective structure, unless this increases the risk. This structure must be such that in the event of rolling or tipping over it affords the ride-on person(s) an adequate deflection-limiting volume. In order to verify that the structure complies with the requirement laid down in the second paragraph, the manufacturer or his authorised representative must, for each type of structure concerned, perform appropriate tests or have such tests performed."
170,2006/42/EC,Machinery Directive,I,3,4,4,,"3.4.4. Falling objects Where, in the case of self-propelled machinery with a ride-on driver, operator(s) or other person(s), there is a risk due to falling objects or material, the machinery must be designed and constructed in such a way as to take account of this risk and fitted, if its size allows, with an appropriate protective structure. This structure must be such that, in the event of falling objects or material, it guarantees the ride-on person(s) an adequate deflection-limiting volume. In order to verify that the structure complies with the requirement laid down in the second paragraph, the manufacturer or his authorised representative must, for each type of structure concerned, perform appropriate tests or have such tests performed."
171,2006/42/EC,Machinery Directive,I,3,4,5,,"3.4.5. Means of access Handholds and steps must be designed, constructed and arranged in such a way that the operators use them instinctively and do not use the control devices to assist access."
172,2006/42/EC,Machinery Directive,I,3,4,6,,"3.4.6. Towing devices All machinery used to tow or to be towed must be fitted with towing or coupling devices designed, constructed and arranged in such a way as to ensure easy and secure connection and disconnection and to prevent accidental disconnection during use. Insofar as the tow bar load so requires, such machinery must be equipped with a support with a bearing surface suited to the load and the ground."
173,2006/42/EC,Machinery Directive,I,3,4,7,,"3.4.7. Transmission of power between self-propelled machinery (or tractor) and recipient machinery Removable mechanical transmission devices linking self-propelled machinery (or a tractor) to the first fixed bearing of recipient machinery must be designed and constructed in such a way that any part that moves during operation is protected over its whole length. On the side of the self-propelled machinery (or tractor), the power take-off to which the removable mechanical transmission device is attached must be protected either by a guard fixed and linked to the self-propelled machinery (or tractor) or by any other device offering equivalent protection. It must be possible to open this guard for access to the removable transmission device. Once it is in place, there must be enough room to prevent the drive shaft damaging the guard when the machinery (or the tractor) is moving. On the recipient machinery side, the input shaft must be enclosed in a protective casing fixed to the machinery. Torque limiters or freewheels may be fitted to universal joint transmissions only on the side adjoining the driven machinery. The removable mechanical transmission device must be marked accordingly. All recipient machinery, the operation of which requires a removable mechanical transmission device to connect it to self-propelled machinery (or a tractor), must have a system for attaching the removable mechanical transmission device so that, when the machinery is uncoupled, the removable mechanical transmission device and its guard are not damaged by contact with the ground or part of the machinery. The outside parts of the guard must be so designed, constructed and arranged that they cannot turn with the removable mechanical transmission device. The guard must cover the transmission to the ends of the inner jaws in the case of simple universal joints and at least to the centre of the outer joint or joints in the case of wide-angle universal joints. If means of access to working positions are provided near to the removable mechanical transmission device, they must be designed and constructed in such a way that the shaft guards cannot be used as steps, unless designed and constructed for that purpose."
174,2006/42/EC,Machinery Directive,I,3,5,,,3.5. PROTECTION AGAINST OTHER HAZARDS
175,2006/42/EC,Machinery Directive,I,3,5,1,,3.5.1. Batteries The battery housing must be designed and constructed in such a way as to prevent the electrolyte being ejected on to the operator in the event of rollover or tipover and to avoid the accumulation of vapours in places occupied by operators. Machinery must be designed and constructed in such a way that the battery can be disconnected with the aid of an easily accessible device provided for that purpose.
176,2006/42/EC,Machinery Directive,I,3,5,2,,"3.5.2. Fire Depending on the hazards anticipated by the manufacturer, machinery must, where its size permits: — either allow easily accessible fire extinguishers to be fitted, or — be provided with built-in extinguisher systems."
177,2006/42/EC,Machinery Directive,I,3,5,3,,"3.5.3. Emissions of hazardous substances The second and third paragraphs of section 1.5.13 do not apply where the main function of the machinery is the spraying of products. However, the operator must be protected against the risk of exposure to such hazardous emissions."
178,2006/42/EC,Machinery Directive,I,3,6,,,3.6. INFORMATION AND INDICATIONS
179,2006/42/EC,Machinery Directive,I,3,6,1,,"3.6.1. Signs, signals and warnings All machinery must have signs and/or instruction plates concerning use, adjustment and maintenance, wherever necessary, so as to ensure the health and safety of persons. They must be chosen, designed and constructed in such a way as to be clearly visible and indelible. Without prejudice to the provisions of road traffic regulations, machinery with a ride-on driver must have the following equipment: — an acoustic warning device to alert persons, — a system of light signals relevant to the intended conditions of use; the latter requirement does not apply to machinery intended solely for underground working and having no electrical power, — where necessary, there must be an appropriate connection between a trailer and the machinery for the operation of signals. Remote-controlled machinery which, under normal conditions of use, exposes persons to the risk of impact or crushing must be fitted with appropriate means to signal its movements or with means to protect persons against such risks. The same applies to machinery which involves, when in use, the constant repetition of a forward and backward movement on a single axis where the area to the rear of the machine is not directly visible to the driver. Machinery must be constructed in such a way that the warning and signalling devices cannot be disabled unintentionally. Where it is essential for safety, such devices must be provided with the means to check that they are in good working order and their failure must be made apparent to the operator. Where the movement of machinery or its tools is particularly hazardous, signs on the machinery must be provided to warn against approaching the machinery while it is working; the signs must be legible at a sufficient distance to ensure the safety of persons who have to be in the vicinity."
180,2006/42/EC,Machinery Directive,I,3,6,2,,"3.6.2. Marking The following must be shown legibly and indelibly on all machinery: — nominal power expressed in kilowatts (kW), — mass of the most usual configuration, in kilograms (kg); and, where appropriate: — maximum drawbar pull provided for at the coupling hook, in Newtons (N), — maximum vertical load provided for on the coupling hook, in Newtons (N)."
181,2006/42/EC,Machinery Directive,I,3,6,3,,3.6.3. Instructions
182,2006/42/EC,Machinery Directive,I,3,6,3,1,"3.6.3.1. Vibrations The instructions must give the following information concerning vibrations transmitted by the machinery to the hand-arm system or to the whole body: — the vibration total value to which the hand-arm system is subjected, if it exceeds 2,5 m/s2. Where this value does not exceed 2,5 m/s2, this must be mentioned, — the highest root mean square value of weighted acceleration to which the whole body is subjected, if it exceeds 0,5 m/s2. Where this value does not exceed 0,5 m/s2, this must be mentioned, — the uncertainty of measurement. These values must be either those actually measured for the machinery in question or those established on the basis of measurements taken for technically comparable machinery which is representative of the machinery to be produced. Where harmonised standards are not applied, the vibration must be measured using the most appropriate measurement code for the machinery concerned. The operating conditions during measurement and the measurement codes used must be described."
183,2006/42/EC,Machinery Directive,I,3,6,3,2,3.6.3.2. Multiple uses The instructions for machinery allowing several uses depending on the equipment used and the instructions for the interchangeable equipment must contain the information necessary for safe assembly and use of the basic machinery and the interchangeable equipment that can be fitted.
184,2006/42/EC,Machinery Directive,I,4,,,,"4. SUPPLEMENTARY ESSENTIAL HEALTH AND SAFETY REQUIREMENTS TO OFFSET HAZARDS DUE TO LIFTING OPERATIONS Machinery presenting hazards due to lifting operations must meet all the relevant essential health and safety requirements described in this chapter (see General Principles, point 4)."
185,2006/42/EC,Machinery Directive,I,4,1,,,4.1. GENERAL
186,2006/42/EC,Machinery Directive,I,4,1,1,,"4.1.1. Definitions (a) ‘Lifting operation’ means a movement of unit loads consisting of goods and/or persons necessitating, at a given moment, a change of level. (b) ‘Guided load’ means a load where the total movement is made along rigid or flexible guides whose position is determined by fixed points. (c) ‘Working coefficient’ means the arithmetic ratio between the load guaranteed by the manufacturer or his authorised representative up to which a component is able to hold it and the maximum working load marked on the component. (d) ‘Test coefficient’ means the arithmetic ratio between the load used to carry out the static or dynamic tests on lifting machinery or a lifting accessory and the maximum working load marked on the lifting machinery or lifting accessory. (e) ‘Static test’ means the test during which lifting machinery or a lifting accessory is first inspected and subjected to a force corresponding to the maximum working load multiplied by the appropriate static test coefficient and then re-inspected once the said load has been released to ensure that no damage has occurred. (f) ‘Dynamic test’ means the test during which lifting machinery is operated in all its possible configurations at the maximum working load multiplied by the appropriate dynamic test coefficient with account being taken of the dynamic behaviour of the lifting machinery in order to check that it functions properly. (g) ‘Carrier’ means a part of the machinery on or in which persons and/or goods are supported in order to be lifted."
187,2006/42/EC,Machinery Directive,I,4,1,2,,4.1.2. Protection against mechanical hazards
188,2006/42/EC,Machinery Directive,I,4,1,2,1,"4.1.2.1. Risks due to lack of stability Machinery must be designed and constructed in such a way that the stability required by section 1.3.1 is maintained both in service and out of service, including all stages of transportation, assembly and dismantling, during foreseeable component failures and also during the tests carried out in accordance with the instruction handbook. To that end, the manufacturer or his authorised representative must use the appropriate verification methods."
189,2006/42/EC,Machinery Directive,I,4,1,2,2,"4.1.2.2. Machinery running on guide rails and rail tracks Machinery must be provided with devices which act on the guide rails or tracks to prevent derailment. If, despite such devices, there remains a risk of derailment or of failure of a rail or of a running component, devices must be provided which prevent the equipment, component or load from falling or the machinery from overturning."
190,2006/42/EC,Machinery Directive,I,4,1,2,3,"4.1.2.3. Mechanical strength Machinery, lifting accessories and their components must be capable of withstanding the stresses to which they are subjected, both in and, where applicable, out of use, under the installation and operating conditions provided for and in all relevant configurations, with due regard, where appropriate, to the effects of atmospheric factors and forces exerted by persons. This requirement must also be satisfied during transport, assembly and dismantling. Machinery and lifting accessories must be designed and constructed in such a way as to prevent failure from fatigue and wear, taking due account of their intended use. The materials used must be chosen on the basis of the intended working environments, with particular regard to corrosion, abrasion, impacts, extreme temperatures, fatigue, brittleness and ageing. Machinery and lifting accessories must be designed and constructed in such a way as to withstand the overload in the static tests without permanent deformation or patent defect. Strength calculations must take account of the value of the static test coefficient chosen to guarantee an adequate level of safety. That coefficient has, as a general rule, the following values: (a) manually-operated machinery and lifting accessories: 1,5; (b) other machinery: 1,25. Machinery must be designed and constructed in such a way as to undergo, without failure, the dynamic tests carried out using the maximum working load multiplied by the dynamic test coefficient. This dynamic test coefficient is chosen so as to guarantee an adequate level of safety: the coefficient is, as a general rule, equal to 1,1. As a general rule, the tests will be performed at the nominal speeds provided for. Should the control circuit of the machinery allow for a number of simultaneous movements, the tests must be carried out under the least favourable conditions, as a general rule by combining the movements concerned."
191,2006/42/EC,Machinery Directive,I,4,1,2,4,"4.1.2.4. Pulleys, drums, wheels, ropes and chains Pulleys, drums and wheels must have a diameter commensurate with the size of the ropes or chains with which they can be fitted. Drums and wheels must be designed, constructed and installed in such a way that the ropes or chains with which they are equipped can be wound without coming off. Ropes used directly for lifting or supporting the load must not include any splicing other than at their ends. Splicings are, however, tolerated in installations which are intended by design to be modified regularly according to needs of use. Complete ropes and their endings must have a working coefficient chosen in such a way as to guarantee an adequate level of safety. As a general rule, this coefficient is equal to 5. Lifting chains must have a working coefficient chosen in such a way as to guarantee an adequate level of safety. As a general rule, this coefficient is equal to 4. In order to verify that an adequate working coefficient has been attained, the manufacturer or his authorised representative must, for each type of chain and rope used directly for lifting the load and for the rope ends, perform the appropriate tests or have such tests performed."
